Regio_Naam,Bottleneck_2Jaar_Pct_Avg,Bottleneck_5Jaar_Pct_Avg,Vergunning_Fase_Pct_Avg,Bouw_Fase_Pct_Avg,Crisis_Regio,Rank
Oude IJsselstreek,17.99,5.93,56.42,43.58,1,232
Franekeradeel,17.95,13.61,23.98,3.29,1,233
Ten Boer,17.9,5.66,30.76,5.61,1,234
Rijnwaarden,17.88,12.67,25.02,2.25,1,235
Rijswijk (ZH.),17.82,1.57,51.44,48.56,1,236
Best,17.78,2.91,38.36,61.64,1,237
Oisterwijk,17.75,0.82,49.35,50.65,1,238
Voorst,17.74,3.33,48.42,51.58,1,239
Weert,17.69,5.4,39.99,60.01,1,240
Rucphen,17.66,3.63,70.55,29.45,1,241
Nijmegen,17.63,5.03,47.94,52.06,1,242
Hattem,17.62,7.47,57.61,42.39,1,243
Neerijnen,17.6,7.72,25.4,10.97,1,244
Lochem,17.55,5.7,48.64,51.36,1,245
Gorinchem,17.53,2.4,70.39,29.61,1,246
Asten,17.43,3.34,55.18,44.82,1,247
Edam-Volendam,17.33,1.28,49.46,50.54,1,248
Dongen,17.25,5.97,54.75,45.25,1,249
Nieuwegein,17.24,0.83,46.21,53.79,1,250
Middelburg (Z.),17.21,2.39,50.28,49.72,1,251
Lisse,17.14,0.44,78.51,21.49,1,252
Vaals,17.04,1.06,77.61,22.39,1,253
Medemblik,16.9,5.07,68.39,31.61,1,254
Castricum,16.81,0.48,41.41,58.59,1,255
Werkendam,16.73,10.61,24.97,11.4,1,256
Tiel,16.68,2.12,43.71,56.29,1,257
Zoetermeer,16.65,5.77,51.7,48.3,1,258
Vught,16.58,3.77,38.26,61.74,1,259
Steenwijkerland,16.57,1.92,53.08,46.92,1,260
Boxmeer,16.52,10.38,57.75,5.88,1,261
Baarle-Nassau,16.52,2.8,54.91,45.09,1,262
Teylingen,16.49,4.62,94.86,5.14,1,263
Gooise Meren,16.45,1.49,68.59,22.32,1,264
Molenlanden,16.39,9.65,27.47,36.16,1,265
Tynaarlo,16.38,2.31,76.79,23.21,1,266
Ermelo,16.37,5.27,65.76,34.24,1,267
Apeldoorn,16.35,4.82,60.29,39.71,1,268
Noordwijkerhout,16.34,3.1,22.87,13.49,1,269
Tytsjerksteradiel,16.3,5.28,50.86,49.14,1,270
Albrandswaard,16.29,5.12,89.44,10.56,1,271
Landerd,16.26,3.4,39.92,23.72,1,272
Veenendaal,16.23,2.54,72.7,27.3,1,273
Haarlemmerliede en Spaarnwoude,16.1,1.0,25.12,11.24,1,274
Moerdijk,16.04,5.83,47.12,52.88,1,275
Reimerswaal,15.91,1.5,52.46,47.54,1,276
Beuningen,15.72,5.55,42.16,57.84,1,277
Harderwijk,15.68,3.76,45.83,54.17,1,278
Midden-Delfland,15.64,5.93,48.19,51.81,1,279
Tilburg,15.62,1.91,39.8,60.2,1,280
Maassluis,15.57,1.43,43.61,56.39,1,281
Loppersum,15.56,13.27,35.8,18.75,1,282
Schinnen,15.39,5.76,24.74,11.63,1,283
Overbetuwe,15.38,4.96,52.85,47.15,1,284
Son en Breugel,15.32,1.39,74.89,25.11,1,285
Veldhoven,15.26,0.55,42.61,57.39,1,286
"Nuenen, Gerwen en Nederwetten",15.26,1.84,44.29,55.71,1,287
Papendrecht,15.21,10.6,29.38,70.62,1,288
Olst-Wijhe,15.13,4.73,51.67,48.33,1,289
Deventer,15.12,3.92,59.59,40.41,1,290
Hellevoetsluis,15.08,1.14,53.74,18.99,1,291
Boekel,14.8,2.16,39.61,60.39,1,292
Brielle,14.72,2.7,51.99,20.74,1,293
Weststellingwerf,14.72,8.51,58.58,41.42,1,294
Deurne,14.71,2.17,43.15,56.85,1,295
Blaricum,14.62,0.99,48.94,51.06,1,296
Leiderdorp,14.55,2.25,38.57,61.43,1,297
Almere,14.49,1.42,47.08,52.92,1,298
Bernheze,14.35,1.8,40.58,59.42,1,299
Uden,14.21,5.88,24.39,39.24,1,300
Onderbanken,14.19,8.1,20.99,15.37,1,301
Arnhem,14.0,1.51,53.12,46.88,1,302
Oldenzaal,13.96,0.74,84.53,15.47,1,303
Oirschot,13.88,4.33,38.73,61.27,1,304
Kampen,13.75,1.17,86.2,13.8,1,305
Capelle aan den IJssel,13.65,0.12,52.34,47.66,1,306
's-Hertogenbosch,13.64,2.42,46.87,53.13,1,307
Vlieland,13.61,0.0,72.73,25.67,1,308
Urk,13.6,0.0,46.37,53.63,1,309
Amersfoort,13.59,1.16,46.68,53.32,1,310
Culemborg,13.57,3.96,58.31,41.69,1,311
Doesburg,13.44,1.49,85.36,14.1,1,312
Goirle,13.41,0.75,74.89,25.11,1,313
Druten,13.29,7.86,47.05,52.95,1,314
Meppel,13.29,3.76,49.85,50.15,1,315
Ede,13.18,2.21,42.8,57.2,1,316
Appingedam,13.14,7.09,36.11,18.44,1,317
Menameradiel,13.02,3.24,22.03,5.24,1,318
Strijen,12.98,10.31,27.66,8.71,1,319
Bunschoten,12.91,1.21,53.75,46.25,1,320
Opsterland,12.88,1.44,55.68,44.32,1,321
Bergen op Zoom,12.86,8.34,49.08,50.92,1,322
Heumen,12.77,0.87,58.34,41.66,1,323
Dongeradeel,12.74,7.72,20.16,16.2,1,324
Montfoort,12.55,1.14,75.7,24.3,1,325
Nijkerk,12.53,2.13,61.38,38.62,1,326
Lingewaal,12.5,4.89,17.26,19.1,1,327
Meierijstad,12.46,4.44,37.75,44.07,1,328
Noordenveld,12.42,1.45,62.51,37.49,1,329
Baarn,12.36,4.15,77.77,22.23,1,330
Giessenlanden,12.07,4.71,14.74,21.62,1,331
Kaag en Braassem,11.99,0.5,45.29,54.71,1,332
Borger-Odoorn,11.81,2.38,52.52,47.48,1,333
West Betuwe,11.56,3.6,37.71,25.92,1,334
Eemsmond,11.44,2.87,20.27,16.09,1,335
Valkenswaard,11.39,1.63,50.92,49.08,1,336
Kollumerland en Nieuwkruisland,11.26,8.43,18.63,17.74,1,337
Lingewaard,11.21,3.09,52.7,47.3,1,338
Assen,11.2,1.85,32.74,67.26,1,339
Zuidplas,11.08,3.08,41.93,58.07,1,340
Leerdam,10.82,3.26,15.93,20.43,1,341
Pijnacker-Nootdorp,10.75,1.45,36.4,63.6,1,342
het Bildt,10.72,5.1,18.66,8.62,1,343
Geldermalsen,10.72,3.74,23.93,12.43,1,344
Kapelle,10.71,3.12,62.09,37.91,1,345
Eemnes,10.49,0.84,50.75,49.25,1,346
Zwartewaterland,10.37,0.84,39.27,60.73,1,347
Weesp,10.36,1.19,40.67,25.64,1,348
Grootegast,10.35,4.41,20.23,16.13,1,349
Wierden,10.24,3.99,74.03,25.97,1,350
Wijchen,10.17,5.49,37.93,62.07,1,351
Slochteren,10.14,6.01,17.45,9.82,1,352
Barneveld,10.13,2.19,46.69,53.31,1,353
Heusden,10.0,1.98,48.55,51.45,1,354
Midden-Groningen,9.92,5.13,46.75,25.97,1,355
Veghel,9.88,5.92,4.54,13.64,1,356
Woerden,9.83,2.32,47.52,52.48,1,357
Neder-Betuwe,9.73,0.32,60.08,39.92,1,358
Westerkwartier,9.71,2.38,35.37,28.27,1,359
Zwolle,9.41,1.83,38.84,61.16,1,360
Gemeenten; niet in te delen,9.17,8.61,74.45,1.48,1,361
Rijssen-Holten,8.93,0.65,52.31,47.69,1,362
Haaren,8.86,3.34,21.35,33.2,1,363
Altena,8.86,2.85,30.91,32.73,1,364
Voorne aan Zee,8.75,0.54,15.86,11.41,1,365
Littenseradiel,8.74,4.97,14.4,12.88,1,366
Etten-Leur,8.72,0.8,32.37,67.63,1,367
Gilze en Rijen,8.71,1.2,58.17,41.83,1,368
Schijndel,8.62,0.85,14.12,4.07,1,369
Zeewolde,8.54,1.94,40.5,59.5,1,370
Borne,8.53,1.2,47.38,52.62,1,371
Muiden,8.27,0.0,8.22,0.87,1,372
Leek,8.1,3.86,23.74,12.62,1,373
Maashorst,8.08,2.31,19.55,16.81,1,374
Beemster,8.08,0.57,27.97,35.67,1,375
Ferwerderadiel,8.06,2.9,28.05,8.32,1,376
Het Hogeland,8.05,1.64,30.78,32.85,1,377
Bedum,7.63,0.33,26.21,10.15,1,378
Aalburg,7.2,5.08,22.84,13.53,1,379
Korendijk,7.05,0.96,13.39,22.97,1,380
Vlaardingen,7.0,1.72,40.76,59.24,1,381
Woudrichem,6.95,0.57,19.4,16.96,1,382
Zuidhorn,6.68,0.52,36.36,0.0,1,383
Waddinxveen,6.65,3.4,53.87,46.13,1,384
Noardeast-Fryslân,6.49,1.95,30.6,33.03,1,385
Leusden,6.46,0.48,75.97,24.03,1,386
Winsum,6.44,0.84,16.62,19.74,1,387
Land van Cuijk,6.43,1.68,20.08,16.29,1,388
Heerhugowaard,6.4,1.26,23.35,40.29,1,389
Dalfsen,6.36,0.45,30.44,69.56,1,390
Renswoude,6.27,0.05,51.33,48.67,1,391
De Marne,5.93,2.21,24.16,12.21,1,392
Groesbeek,5.74,0.83,3.86,5.23,1,393
Hoeksche Waard,5.71,0.93,39.28,24.35,1,394
Vijfheerenlanden,5.54,1.26,22.34,41.3,1,395
Cromstrijen,5.52,0.07,27.18,9.18,1,396
Woudenberg,5.2,0.29,84.02,15.98,1,397
Vlagtwedde,5.07,1.36,8.54,18.73,1,398
Alblasserdam,4.42,0.0,51.98,48.02,1,399
Hoogezand-Sappemeer,4.41,3.04,13.96,13.32,1,400
Zeevang,4.14,0.19,6.33,2.76,1,401
Binnenmaas,3.97,0.74,22.77,13.59,1,402
Eemsdelta,3.85,0.21,33.6,11.86,1,403
Oud-Beijerland,3.6,0.09,14.49,21.87,1,404
Hendrik-Ido-Ambacht,3.46,0.59,58.51,41.49,1,405
Dijk en Waard,3.23,0.11,15.37,20.99,1,406
Marum,2.92,0.55,21.08,15.28,0,407
Haren,2.86,0.08,26.86,9.5,1,408
De Friese Meren,2.32,0.1,1.46,3.35,1,409
Sint-Oedenrode,0.89,0.02,5.53,12.65,0,410
Vianen,0.59,0.0,14.17,22.2,0,411
Krimpen aan den IJssel,0.57,0.0,24.15,75.85,1,412
Leeuwarderadeel,0.29,0.0,19.95,7.32,0,413
Naarden,0.22,0.0,6.36,2.73,0,414
Bussum,0.03,0.0,5.83,3.26,0,415
